Name,Season,Date,Competition,Round,Venue,Result,Squad,Opponent
Toby Alderweireld,2019-2020,2019-09-09,Euro Qualifying,Group stage,Away,W 4–0,Belgium,Scotland
Toby Alderweireld,2019-2020,2019-09-14,Premier League,Matchweek 5,Home,W 4–0,Tottenham,Crystal Palace
Toby Alderweireld,2019-2020,2019-09-18,Champions Lg,Group stage,Away,D 2–2,Tottenham,Olympiacos
Toby Alderweireld,2019-2020,2019-09-21,Premier League,Matchweek 6,Away,L 1–2,Tottenham,Leicester City
Toby Alderweireld,2019-2020,2019-09-28,Premier League,Matchweek 7,Home,W 2–1,Tottenham,Southampton
Toby Alderweireld,2019-2020,2019-10-01,Champions Lg,Group stage,Home,L 2–7,Tottenham,Bayern Munich
Toby Alderweireld,2019-2020,2019-10-05,Premier League,Matchweek 8,Away,L 0–3,Tottenham,Brighton
Toby Alderweireld,2019-2020,2019-10-10,Euro Qualifying,Group stage,Home,W 9–0,Belgium,San Marino
Toby Alderweireld,2019-2020,2019-10-13,Euro Qualifying,Group stage,Away,W 2–0,Belgium,Kazakhstan
Toby Alderweireld,2019-2020,2019-10-19,Premier League,Matchweek 9,Home,D 1–1,Tottenham,Watford
Toby Alderweireld,2019-2020,2019-10-27,Premier League,Matchweek 10,Away,L 1–2,Tottenham,Liverpool
Toby Alderweireld,2018-2019,2018-07-06,FIFA World Cup,Quarter-finals,Neutral,W 2–1,Belgium,Brazil
Toby Alderweireld,2018-2019,2018-07-10,FIFA World Cup,Semi-finals,Neutral,L 0–1,Belgium,France
Toby Alderweireld,2018-2019,2018-07-14,FIFA World Cup,Third-place match,Neutral,W 2–0,Belgium,England
Toby Alderweireld,2018-2019,2018-08-18,Premier League,Matchweek 2,Home,W 3–1,Tottenham,Fulham
Toby Alderweireld,2018-2019,2018-08-27,Premier League,Matchweek 3,Away,W 3–0,Tottenham,Manchester Utd
Toby Alderweireld,2018-2019,2018-09-02,Premier League,Matchweek 4,Away,L 1–2,Tottenham,Watford
Toby Alderweireld,2018-2019,2018-09-11,UEFA Nations League,Group stage,Away,W 3–0,Belgium,Iceland
Toby Alderweireld,2018-2019,2018-09-15,Premier League,Matchweek 5,Home,L 1–2,Tottenham,Liverpool
Toby Alderweireld,2018-2019,2018-09-22,Premier League,Matchweek 6,Away,W 2–1,Tottenham,Brighton
Toby Alderweireld,2018-2019,2018-09-26,EFL Cup,Third round,Home,W 2 ,Tottenham,Watford
