state,country,total
Wisconsin,Chippewa County,10
Wisconsin,Columbia County,29
Wisconsin,Crawford County,29
Wisconsin,Dane County,284
Wisconsin,Dodge County,29
Wisconsin,Door County,17
Wisconsin,Douglas County,18
Wisconsin,Dunn County,18
Wisconsin,Eau Claire County,79
Wisconsin,Fond Du Lac County,73
Wisconsin,Grant County,14
Wisconsin,Green County,30
Wisconsin,Green Lake County,20
Wisconsin,Jefferson County,131
Wisconsin,Kenosha County,67
Wisconsin,Kewaunee County,10
Wisconsin,La Crosse County,63
Wisconsin,Manitowoc County,52
Wisconsin,Marathon County,58
Wisconsin,Marinette County,29
Wisconsin,Milwaukee County,586
Wisconsin,Oconto County,16
Wisconsin,Outagamie County,88
Wisconsin,Ozaukee County,69
Wisconsin,Pepin County,6
Wisconsin,Pierce County,303
Wisconsin,Polk County,18
Wisconsin,Portage County,61
Wisconsin,Racine County,98
Wisconsin,Rock County,74
Wisconsin,Rusk County,18
Wisconsin,Saint Croix County,43
Wisconsin,Sauk County,31
Wisconsin,Shawano County,22
Wisconsin,Sheboygan County,76
Wisconsin,Vernon County,25
Wisconsin,Walworth County,60
Wisconsin,Washburn County,13
Wisconsin,Washington County,26
Wisconsin,Waukesha County,212
Wisconsin,Waupaca County,42
Wisconsin,Winnebago County,105
Wisconsin,Wood County,21
West Virginia,Barbour County,9
West Virginia,Berkeley County,29
West Virginia,Boone County,5
West Virginia,Braxton County,3
West Virginia,Brooke County,12
West Virginia,Cabell County,60
West Virginia,Calhoun County,52
West Virginia,Clay County,5
West Virginia,Doddridge County,2
West Virginia,Fayette County,16
West Virginia,Greenbrier County,17
West Virginia,Hancock County,24
West Virginia,Harrison County,20
West Virginia,Jefferson County,131
West Virginia,Kanawha County,74
West Virginia,Lewis County,4
West Virginia,Lincoln County,15
Vermont,Addison County,23
Vermont,Bennington County,39
Vermont,Chittenden County,89
Vermont,Franklin County,13
Vermont,Grand Isle County,3
Vermont,Lamoille County,15
Vermont,Orange County,75
Vermont,Orleans County,11
West Virginia,Logan County,29
West Virginia,Marion County,5
West Virginia,Marshall County,22
West Virginia,Mason County,3
West Virginia,Mcdowell County,23
West Virginia,Mercer County,94
West Virginia,Mingo County,5
West Virginia,Monongalia County,29
West Virginia,Monroe County,52
West Virginia,Nicholas County,8
West Virginia,Ohio County,1
West Virginia,Pendleton County,3
West Virginia,Pleasants County,5
West Virginia,Preston County,11
West Virginia,Putnam County,14
Vermont,Rutland County,43
Vermont,Washington County,26
Vermont,Windham County,47
Vermont,Windsor County,39
West Virginia,Raleigh County,22
West Virginia,Randolph County,8
West Virginia,Taylor County,56
West Virginia,Tyler County,9
West Virginia,Upshur County,12
West Virginia,Wayne County,707
West Virginia,Webster County,5
West Virginia,Wetzel County,8
West Virginia,Wirt County,0
West Virginia,Wood County,21
West Virginia,Wyoming County,13
Utah,Beaver County,71
Utah,Box Elder County,20
Utah,Cache County,37
Utah,Carbon County,9
Utah,Davis County,92
Utah,Duchesne County,8
South Dakota,Brookings County,24
South Dakota,Butte County,112
South Dakota,Davison County,26
South Dakota,Fall River County,9
South Dakota,Grant County,14
South Dakota,Hutchinson County,5
South Dakota,Lawrence County,55
South Dakota,Lincoln County,15
Utah,Iron County,7
Utah,Juab County,7
Utah,Morgan County,34
Utah,Salt Lake County,345
Utah,Sanpete County,10
Utah,Sevier County,5
Utah,Summit County,18
Utah,Tooele County,8
Utah,Uintah County,8
Utah,Utah County,151
Utah,Wasatch County,2
Utah,Washington County,18
Utah,Weber County,91
